"Part Number","Quantity","Bin Location"
"14500035020S","1","B6"
"14566086030S","10","B7"
"14675178000S","1","B7"
"20K1110S","1","B7"
"21K130LS","8","B3"
"22K130LS","7","B2, B4, B8"
"33400KCC710S","2","B6, B7"
"35010AAE301S","1","B6"
"35010ACK00099S","2","B8"
"37800AAE30099S","1","B7"
"52410KCC871S","1","B"
"64320AAL500SS","1","B2"
"81131ABS400RS","1","B2"
"88120ABS421JS","1","B7"
"90118383000S","20","B6"
"91203GB5760S","10","B6"
"K06431KTNA701S","1","B7"
"VD64304ACP000BS","1","B7"
